"Gene","DPI01.lfc","DPI01.padj","DPI05.lfc","DPI05.padj","DPI07.lfc","DPI07.padj","DPI15.lfc","DPI15.padj","DPI21.lfc","DPI21.padj","DPI28.lfc","DPI28.padj"
"BEND7",0.0264801854739334,0.915590107443843,0.151940133149722,0.559959195032081,0.258873020626689,0.456560932868591,0.283380038822964,0.347115654514427,0.198240981052971,0.388547427946514,0.256830524496188,0.316989478767773
"BEST1",-0.0275587217212422,0.876937879740801,-0.176796214847252,0.440172450411584,-0.188844666395939,0.62011115509587,-0.912825736669798,0.0296159578359813,-1.24056616766887,0.0167653220042926,-1.29904651557361,0.00969830817891934
"BEST2",0.0348336717418219,0.690564999773994,0.0838202793240956,0.638840238102743,0.158611161950352,0.67023576824741,0.020135592180851,0.946173085593019,0.054315247213547,0.703978181103538,0.0778381312340137,0.608680565250182
"BEST3",-0.014099161800322,0.864116887652298,-0.00539279963532798,0.974368219065903,0.2022606221603,0.519212003721805,0.020844780330488,0.931295860874553,-0.0390234318782974,0.681874975015256,0.00654830920268374,0.972409734834291
"BEST4",0.057019681921907,0.506083124190159,0.0634849122957611,0.766183941547808,0.0307579362837787,0.942404978664607,0.160384769761418,0.556047098882392,0.140540900553671,0.360620341356999,0.154696223574952,0.361322358429901
"BET1",-0.0796692786145967,0.647194134158932,-0.102046717375116,0.721982557324889,-0.00462706232508892,0.990501308274898,0.0293703131970574,0.934695261491254,-0.111876083195269,0.631759932296767,-0.392308779410836,0.179411162905492
"BET1L",-0.035862232547035,0.905636233758972,-0.0901190304137047,0.751034244273926,-0.380158075598574,0.0641919753550058,-0.557955233601294,0.00585746015932837,-0.228355139605217,0.314636035928986,-0.198670498132657,0.400734864765105
"BEX1",-0.118364436342648,0.15434610685515,-1.29746143449492,0.0144407329994,-2.06074882173852,5.8453205900908e-05,-0.613781545478017,0.102572478725541,-1.26626990590142,0.023454839748789,-1.42866341864328,0.00969609845446913
"BEX2",0.00139450110422034,0.993782261208551,-0.0241106183846939,0.911496472487517,-0.0817182822307662,0.833445768625389,-0.00552823706506267,0.986230927153865,-0.0291784990682294,0.859549195366813,-0.0909763397227,0.487248403225803
"BEX4",-0.34471827703494,0.237026954029357,-0.636757136164755,0.0573891174938242,-1.20270385010046,0.000337637092777406,-0.994049572477773,0.00311077816449352,-0.263593351969386,0.301521687365811,-0.540589129447847,0.095202170038567
"BFAR",0.210140780719253,0.23016633002438,0.312887820536797,0.0233915130205854,0.156628958297909,0.276932988808781,0.435115958757912,0.000571651260146243,0.566042365240159,6.85417239514715e-06,0.480232765992578,0.000168591504199985
"BFSP1",0.0104213117856935,0.926881683405831,0.152605925810744,0.250510153286263,0.103510610037544,0.745702430654303,0.114715143141427,0.57163671176684,0.0456535899862918,0.667386062976173,0.0677877923065937,0.55747364943062
"BFSP2",0.00734342213672759,0.964847696299445,-0.00483488755206458,0.994104967811572,0.0569877918154766,0.887775254096037,0.231278180515321,0.356926586833038,0.192038195824863,0.0949079544300366,0.169130673675187,0.157223974953088
